ID,Company,Title,Location,Publication Date,Link
"1","invillia","Spec/Sr Backend Cloud Developer - (100% Remoto)","Efetivo","Publicada em 25 de agosto de 2023","https://invillia.gupy.io/job/eyJqb2JJZCI6NTM0MTg0OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"2","#sejaveriter",".NETCore Backend Developer Sr - REMOTO","São Paulo - SP","Publicada em 25 de agosto de 2023","https://verity.gupy.io/job/eyJqb2JJZCI6NTM0MDYxOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"3","The Bridge Vagas","Desenvolvedor Backend sênior - 100% Remoto","São Paulo - SP","Publicada em 25 de agosto de 2023","https://thebridgesocial.gupy.io/job/eyJqb2JJZCI6NTM0MTAzMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"4","OnSet Tecnologia Ltda.","Desenvolvedor Backend","São José dos Campos - SP","Publicada em 24 de agosto de 2023","https://onset.gupy.io/job/eyJqb2JJZCI6NTMzNjQxMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"5","NAVA | Technology for Business","Pessoa Desenvolvedora Backend Java/Node SR","São Paulo - SP","Publicada em 24 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTMzMzgwMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"6","NAVA | Technology for Business","Pessoa Desenvolvedora Backend Java/Node SR","São Paulo - SP","Publicada em 24 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTMzMzczMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"7","NAVA | Technology for Business","Pessoa Desenvolvedora Backend Java/Node SR","São Paulo - SP","Publicada em 24 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTMzMzY5NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"8","NAVA | Technology for Business","Pessoa Desenvolvedora Backend Java/Node SR","São Paulo - SP","Publicada em 24 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTMzMzY4MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"9","NAVA | Technology for Business","Pessoa Desenvolvedora Backend Java/Node SR","São Paulo - SP","Publicada em 24 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTMzMzYzNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"10","NAVA | Technology for Business","Pessoa Desenvolvedora Backend Java/Node SR","São Paulo - SP","Publicada em 24 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTMzMzYwMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"11","NAVA | Technology for Business","Pessoa Desenvolvedora Backend Java/Node SR","São Paulo - SP","Publicada em 24 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTMzMzIwMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"12","Vagas Inmetrics","PESSOA DESENVOLVEDORA BACKEND (.NET) SÊNIOR","Barueri - SP","Publicada em 23 de agosto de 2023","https://inmetrics.gupy.io/job/eyJqb2JJZCI6NTMyMDQ0Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"13","Softplan","Pessoa Especialista Backend Java - Cód. 6960","Joinville - SC","Publicada em 23 de agosto de 2023","https://softplan.gupy.io/job/eyJqb2JJZCI6NTMwNjk2MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"14","VENHA SER #SANGUELARANJA 🧡🚀","Desenvolvedor(a) Backend Kotlin PL","São Paulo - SP","Publicada em 22 de agosto de 2023","https://fcamara.gupy.io/job/eyJqb2JJZCI6NTMwOTA0MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"15","VENHA SER #SANGUELARANJA 🧡🚀","Desenvolvedor Backend .NET Sênior","São Paulo - SP","Publicada em 22 de agosto de 2023","https://fcamara.gupy.io/job/eyJqb2JJZCI6NTMxMDQ5NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"16","Job Opportunities","Backend Engineer C# Cloud (AWS)_USA_1616","São Paulo - SP","Publicada em 22 de agosto de 2023","https://gobettirh.gupy.io/job/eyJqb2JJZCI6NTMwMTc5MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
