ID,Company,Title,Location,Publication Date,Link
"1","Datum TI","Pessoa Desenvolvedora Frontend React Native SR","São Paulo - SP","Publicada em 23 de agosto de 2023","https://datum.gupy.io/job/eyJqb2JJZCI6NTMxNjI5NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"2","Vidalink - Seu Plano de Bem-Estar","Analista Desenvolvedor(a) Frontend Senior - Modelo Home Office","São Caetano do Sul - SP","Publicada em 23 de agosto de 2023","https://vidalink.gupy.io/job/eyJqb2JJZCI6NTMwMzg4OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"3","DOC9","Dev FrontEnd (React + Typescript) Pleno - 100% Remoto","Porto Alegre - RS","Publicada em 21 de agosto de 2023","https://doc9.gupy.io/job/eyJqb2JJZCI6NTMwNzMxOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"4","Gipsyy","Desenvolvedor Frontend SR","São Paulo - SP","Publicada em 18 de agosto de 2023","https://vempragipsyy.gupy.io/job/eyJqb2JJZCI6NTI4OTEwMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"5","Grupo Boticário","Pessoa Desenvolvedora Frontend Analista III (Marketplace - Catálogo)","Efetivo","Publicada em 15 de agosto de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTIzMzg1OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"6","NAVA | Technology for Business","Desenvolvedor Frontend React PL","Efetivo","Publicada em 15 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTI4MDI2Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"7","PagBank","Engenheiro de Software FrontEnd Pl.","SAO PAULO - SP","Publicada em 15 de agosto de 2023","https://pagseguro.gupy.io/job/eyJqb2JJZCI6NTI2MDg5Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"8","Luby Software","Sr Frontend React Developer","Pessoa jurídica","Publicada em 10 de agosto de 2023","https://luby.gupy.io/job/eyJqb2JJZCI6NTI2Njc4OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"9","3CON | IT & Digital","Desenvolvedor FrontEnd","São Paulo","Publicada em 04 de agosto de 2023","https://trescon.gupy.io/job/eyJqb2JJZCI6NTI0MDM4Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"10","Grupo Boticário","Pessoa Desenvolvedora Frontend Especialista I (Ecommerce - Recomendação)","Efetivo","Publicada em 03 de agosto de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTIxNjMzMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"11","Vetta Tecnologia","Desenvolvedor(a) Frontend PL","Belo Horizonte - MG","Publicada em 03 de agosto de 2023","https://vetta.gupy.io/job/eyJqb2JJZCI6NTIzNDE3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"12","Seedz","Senior Software Engineer Frontend (React)","Belo Horizonte - MG","Publicada em 31 de julho de 2023","https://seedz.gupy.io/job/eyJqb2JJZCI6NTE5MjMyOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"13","Grupo Boticário","Pessoa Desenvolvedora Frontend Especialista II (Ecommerce)","Efetivo","Publicada em 27 de julho de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTIwMzgzMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"14","iBlue Consulting","[AE] DESENVOLVEDOR FRONTEND ANGULAR - REMOTO","São Paulo - SP","Publicada em 24 de julho de 2023","https://ibluetech.gupy.io/job/eyJqb2JJZCI6NTE5NDU5OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"15","Vetta Tecnologia","Desenvolvedor (a) Frontend Sênior","Belo Horizonte - MG","Publicada em 20 de julho de 2023","https://vetta.gupy.io/job/eyJqb2JJZCI6NTE1NzQ0Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"16","Carreira Octadesk","Pessoa Engenheira de Software - Frontend Sênior","São Paulo","Publicada em 18 de julho de 2023","https://octadesk.gupy.io/job/eyJqb2JJZCI6NTE3MjQ5Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"17","Sanus","Desenvolvedor Frontend Senior","São Paulo - SP","Publicada em 05 de julho de 2023","https://sanus.gupy.io/job/eyJqb2JJZCI6NTExOTAxMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"18","Consult Mídia Soluções","Analista Desenvolvedor Frontend 2","Brasília","Publicada em 05 de julho de 2023","https://consultmidia.gupy.io/job/eyJqb2JJZCI6NTExOTI4MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"19","V8.TECH","Pessoa Desenvolvedora FrontEnd - Pleno","São Paulo","Publicada em 29 de junho de 2023","https://v8tech.gupy.io/job/eyJqb2JJZCI6NTA5MjQzMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"20","Pecege","Desenvolvedor(a) Frontend React","Efetivo","Publicada em 27 de junho de 2023","https://vempropecege.gupy.io/job/eyJqb2JJZCI6NTA4NjQ3OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"21","Árvore","Pessoa Desenvolvedora Frontend Sênior","Rio de Janeiro - RJ","Publicada em 27 de junho de 2023","https://arvore.gupy.io/job/eyJqb2JJZCI6NTA4NDY0Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"22","Cielo","Desenvolvedor FrontEnd","Barueri - SP","Publicada em 21 de junho de 2023","https://cielo.gupy.io/job/eyJqb2JJZCI6NTA0MzgzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"23","Page Outsourcing Brasil","Desenvolvedor Frontend Pleno - Bradesco","Barueri - SP","Publicada em 19 de junho de 2023","https://pageoutsourcingbr.gupy.io/job/eyJqb2JJZCI6NTAyNDE2OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"24","Avenue","Software Engineer Frontend | React","São Paulo","Publicada em 15 de junho de 2023","https://avenue.gupy.io/job/eyJqb2JJZCI6NDk5Nzc3OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"25","Fitec- Inovações Tecnológicas","Desenvolvedor Web FRONTEND Pleno","São José dos Campos - SP","Publicada em 02 de junho de 2023","https://fitec.gupy.io/job/eyJqb2JJZCI6NDkwMDkyMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"26","tembici.","Frontend Software Engineer","São Paulo - SP","Publicada em 29 de maio de 2023","https://tembici.gupy.io/job/eyJqb2JJZCI6NDc1NDUxNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"27","Teddy Open Finance","Desenvolvedor FrontEnd","São Bernardo do Campo - SP","Publicada em 25 de maio de 2023","https://teddy.gupy.io/job/eyJqb2JJZCI6NDg1MjA3MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"28","Conta Simples","Engenheira(o) de Software Frontend Pleno","São Paulo - SP","Publicada em 09 de maio de 2023","https://contasimples.gupy.io/job/eyJqb2JJZCI6NDc4MzkxOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"29","Global","DESENVOLVEDOR FRONTEND - ANGULAR","Joinville - SC","Publicada em 05 de maio de 2023","https://somosglobal.gupy.io/job/eyJqb2JJZCI6NDc3MDUzNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"30","Page Resourcing","PS - FrontEnd React Developer - CDMX - Sourcing","Banco de talentos","Publicada em 04 de maio de 2023","https://pageresourcingconfidencialmx.gupy.io/job/eyJqb2JJZCI6NDc2Nzk4Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"31","VeeCode Squad","Banco de Talentos Veecode Squad FRONTEND 2.0","Banco de talentos","Publicada em 24 de fevereiro de 2023","https://veecodesquad.gupy.io/job/eyJqb2JJZCI6NDI0OTMzNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"32","200DEV","Dev Frontend Sênior","Efetivo","Publicada em 03 de fevereiro de 2023","https://200dev.gupy.io/job/eyJqb2JJZCI6NDA0MTk4MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"33","Itaú Unibanco","ANALISTA DE SISTEMAS SR (Frontend)","SAO PAULO - SP","Publicada em 18 de outubro de 2022","https://vemproitau.gupy.io/job/eyJqb2JJZCI6MzA3OTY4MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"34","Instituto Atlântico","[Banco de Talentos] Pessoa Desenvolvedora Frontend","Fortaleza - CE","Publicada em 06 de setembro de 2022","https://institutoatlantico.gupy.io/job/eyJqb2JJZCI6Mjg3ODk4MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"35","nScreen","[Banco de talentos] Desenvolvedor(a) Frontend","Belo Horizonte - MG","Publicada em 23 de junho de 2022","https://nscreen.gupy.io/job/eyJqb2JJZCI6MjM0NTg4Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
