ID,Company,Title,Location,Publication Date,Link
"1","ACP Group","Analista de Sistemas Sênior - Java (5321450)","Salvador - BA","Publicada em 25 de agosto de 2023","https://acpgroup.gupy.io/job/eyJqb2JJZCI6NTMyMTQ1MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"2","Cielo","Desenvolvedor Java Sênior com ênfase em Big Data","Barueri - SP","Publicada em 25 de agosto de 2023","https://cielo.gupy.io/job/eyJqb2JJZCI6NTM0MDg0Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"3","Darede","Pessoa Analista de Desenvolvimento Java Pleno","Barueri - SP","Publicada em 25 de agosto de 2023","https://darede.gupy.io/job/eyJqb2JJZCI6NTM0MDEzMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"4","MAGNA SISTEMAS","5316612| Analista de Desenvolvimento Back End Java PL","São Paulo - SP","Publicada em 25 de agosto de 2023","https://magnasistemas.gupy.io/job/eyJqb2JJZCI6NTMxNjYxMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"5","ACP Group","Analista de Sistemas Pleno - Java (5322047)","Salvador - BA","Publicada em 25 de agosto de 2023","https://acpgroup.gupy.io/job/eyJqb2JJZCI6NTMyMjA0Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"6","ACP Group","Analista de Sistemas Sênior - Java Mobile (5319010)","Salvador - BA","Publicada em 25 de agosto de 2023","https://acpgroup.gupy.io/job/eyJqb2JJZCI6NTMxOTAxMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"7","MJV Technology & Innovation","Pessoa Desenvolvedora Back-end (Java)","Rio de Janeiro - RJ","Publicada em 25 de agosto de 2023","https://mjvcarreiras.gupy.io/job/eyJqb2JJZCI6NTMwNjc4OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"8","MAGNA SISTEMAS","5334482 | Analista de Desenvolvimento Full Stack Java SR","São Paulo - SP","Publicada em 25 de agosto de 2023","https://magnasistemas.gupy.io/job/eyJqb2JJZCI6NTMzNDQ4Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"9","Projedata","Desenvolvedor - PL/SQL e Java (Atendimento Técnico)","São Ludgero - SC","Publicada em 24 de agosto de 2023","https://projedata.gupy.io/job/eyJqb2JJZCI6NTMzNjM5MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"10","Autbank","Desenvolvedor Java Sênior (Microsserviços - São Paulo)","São Paulo - SP","Publicada em 24 de agosto de 2023","https://autbank.gupy.io/job/eyJqb2JJZCI6NTMzNjExOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
