ID,Company,Title,Location,Publication Date,Link
"1","Dentsu World Services Brazil","Senior Python Developer [Django] - Banco de Talentos","Porto Alegre - RS","Publicada em 25 de agosto de 2023","https://dwsbrazil.gupy.io/job/eyJqb2JJZCI6NTM0MDQ3MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"2","Vivo Vita","Desenvolvedor Software / Python Pleno","São Paulo - SP","Publicada em 23 de agosto de 2023","https://vivovita.gupy.io/job/eyJqb2JJZCI6NTMyMDEzNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"3","Confi","Pessoa Desenvolvedora Python","São Paulo - SP","Publicada em 18 de agosto de 2023","https://confi-a.gupy.io/job/eyJqb2JJZCI6NTI5OTIyNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"4","AMcom","Pessoa Desenvolvedora Full Stack Python Sênior","Blumenau - SC","Publicada em 14 de agosto de 2023","https://amcom.gupy.io/job/eyJqb2JJZCI6NTI2NTk3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"5","Vertigo Tecnologia","Desenvolvedor(a) em Python (Plataforma de Dados)","Rio de Janeiro - RJ","Publicada em 14 de agosto de 2023","https://vertigo.gupy.io/job/eyJqb2JJZCI6NTI3NDY4MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"6","Join Tecnologia & Design","Dev Python/Django","Curitiba - PR","Publicada em 11 de agosto de 2023","https://jointecnologia.gupy.io/job/eyJqb2JJZCI6NTI2NjU3Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"7","Looqbox","Analista de Dados Pleno (Python Developer - Remoto)","São Paulo - SP","Publicada em 11 de agosto de 2023","https://looqbox.gupy.io/job/eyJqb2JJZCI6NTI2ODU2Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"8","Positivo Tecnologia","Desenvolvedor (a) Python Fullstack Pleno","CURITIBA","Publicada em 08 de agosto de 2023","https://positivotecnologia.gupy.io/job/eyJqb2JJZCI6NTI1NjgwMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"9","Objective (Brazil)","[Squad] Desenvolvedor(a) SR | Python","Curitiba - PR","Publicada em 08 de agosto de 2023","https://objective.gupy.io/job/eyJqb2JJZCI6NTI1Mjk2NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"10","Imagem Geosistemas","Desenvolvedor Pleno (Python) (Soluções)","Sao Jose dos Campos - SP","Publicada em 07 de agosto de 2023","https://geosistemas.gupy.io/job/eyJqb2JJZCI6NTIyMzAwMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
